aggregator, node_id: 2, sample: 70.729, missed_samples: 0 , time: 358631049 #
aggregator, node_id: 3, sample: 19.985, missed_samples: 0 , time: 361318563 #
aggregator, node_id: 2, sample: 14.592, missed_samples: 0 , time: 362295142 #
aggregator, node_id: 3, sample: 78.412, missed_samples: 0 , time: 364920117 #
aggregator, node_id: 2, sample: 41.163, missed_samples: 0 , time: 366318554 #
aggregator, node_id: 3, sample: 85.547, missed_samples: 0 , time: 369115405 #
aggregator, node_id: 2, sample: 54.446, missed_samples: 1 , time: 371115430 #
aggregator, node_id: 3, sample: 56.186, missed_samples: 0 , time: 372779500 #
aggregator, node_id: 2, sample: 57.631, missed_samples: 0 , time: 375935741 #
aggregator, node_id: 3, sample: 55.168, missed_samples: 0 , time: 376568551 #
aggregator, node_id: 2, sample: 10.443, missed_samples: 0 , time: 378969102 #
aggregator, node_id: 3, sample: 53.891, missed_samples: 0 , time: 381021665 #
aggregator, node_id: 2, sample: 37.875, missed_samples: 0 , time: 383701345 #
aggregator, node_id: 3, sample: 68.389, missed_samples: 0 , time: 384943554 #
aggregator, node_id: 2, sample: 37.492, missed_samples: 0 , time: 387810747 #
aggregator, node_id: 3, sample: 61.973, missed_samples: 0 , time: 388662307 #
aggregator, node_id: 2, sample: 28.196, missed_samples: 0 , time: 391724802 #
aggregator, node_id: 3, sample: 56.711, missed_samples: 0 , time: 393318553 #
aggregator, node_id: 2, sample: 60.336, missed_samples: 1 , time: 396248241 #
aggregator, node_id: 3, sample: 33.814, missed_samples: 0 , time: 397349792 #
aggregator, node_id: 2, sample: 56.911, missed_samples: 0 , time: 400484382 #
aggregator, node_id: 3, sample: 62.504, missed_samples: 1 , time: 402162292 #
aggregator, node_id: 2, sample: 85.424, missed_samples: 0 , time: 404896681 #
aggregator, node_id: 3, sample: 40.737, missed_samples: 0 , time: 407006076 #
aggregator, node_id: 2, sample: 45.123, missed_samples: 0 , time: 407935758 #
aggregator, node_id: 3, sample: 48.600, missed_samples: 1 , time: 411474804 #
aggregator, node_id: 2, sample: 40.448, missed_samples: 0 , time: 412474810 #
aggregator, node_id: 3, sample: 26.744, missed_samples: 0 , time: 415201363 #
aggregator, node_id: 2, sample: 46.805, missed_samples: 1 , time: 417349805 #
aggregator, node_id: 3, sample: 31.711, missed_samples: 0 , time: 419279490 #
aggregator, node_id: 2, sample: 27.931, missed_samples: 0 , time: 421177954 #
aggregator, node_id: 3, sample: 68.135, missed_samples: 0 , time: 423154494 #
aggregator, node_id: 2, sample: 26.345, missed_samples: 0 , time: 425287299 #
aggregator, node_id: 3, sample: 49.598, missed_samples: 0 , time: 427654487 #
aggregator, node_id: 2, sample: 56.620, missed_samples: 0 , time: 429974831 #
aggregator, node_id: 3, sample: 35.603, missed_samples: 0 , time: 431568567 #
aggregator, node_id: 2, sample: 57.323, missed_samples: 0 , time: 434398475 #
aggregator, node_id: 3, sample: 62.007, missed_samples: 0 , time: 434959003 #
aggregator, node_id: 2, sample: 52.099, missed_samples: 0 , time: 438091907 #
aggregator, node_id: 3, sample: 46.106, missed_samples: 1 , time: 439552950 #
aggregator, node_id: 2, sample: 30.756, missed_samples: 0 , time: 442201355 #
aggregator, node_id: 3, sample: 9.103, missed_samples: 0 , time: 444053835 #
aggregator, node_id: 2, sample: 41.270, missed_samples: 0 , time: 445732604 #
aggregator, node_id: 3, sample: 65.356, missed_samples: 0 , time: 448326365 #
aggregator, node_id: 2, sample: 93.478, missed_samples: 0 , time: 450052937 #
aggregator, node_id: 3, sample: 17.614, missed_samples: 0 , time: 451960107 #
aggregator, node_id: 2, sample: 65.276, missed_samples: 0 , time: 454357607 #
aggregator, node_id: 3, sample: 39.346, missed_samples: 0 , time: 455279489 #
aggregator, node_id: 2, sample: 54.585, missed_samples: 0 , time: 458881043 #
aggregator, node_id: 3, sample: 74.370, missed_samples: 0 , time: 459326372 #
aggregator, node_id: 3, sample: 69.671, missed_samples: 0 , time: 462717008 #
aggregator, node_id: 2, sample: 24.845, missed_samples: 1 , time: 463146679 #
aggregator, node_id: 2, sample: 52.029, missed_samples: 0 , time: 467037228 #
aggregator, node_id: 3, sample: 34.611, missed_samples: 0 , time: 467607630 #
aggregator, node_id: 2, sample: 28.601, missed_samples: 0 , time: 470101980 #
aggregator, node_id: 3, sample: 66.989, missed_samples: 2 , time: 474115427 #
aggregator, node_id: 2, sample: 66.890, missed_samples: 0 , time: 474154469 #
aggregator, node_id: 2, sample: 43.303, missed_samples: 0 , time: 477560748 #
aggregator, node_id: 2, sample: 58.377, missed_samples: 0 , time: 482382994 #
aggregator, node_id: 3, sample: 55.256, missed_samples: 2 , time: 482513853 #
aggregator, node_id: 2, sample: 79.951, missed_samples: 0 , time: 485724815 #
aggregator, node_id: 2, sample: 20.318, missed_samples: 0 , time: 489818559 #
aggregator, node_id: 3, sample: 84.045, missed_samples: 2 , time: 491990346 #
aggregator, node_id: 2, sample: 57.979, missed_samples: 0 , time: 494170125 #
aggregator, node_id: 2, sample: 82.633, missed_samples: 0 , time: 497599788 #
aggregator, node_id: 3, sample: 56.745, missed_samples: 3 , time: 501974835 #
aggregator, node_id: 2, sample: 69.206, missed_samples: 0 , time: 502381048 #
aggregator, node_id: 2, sample: 54.799, missed_samples: 0 , time: 507310748 #
aggregator, node_id: 3, sample: 63.531, missed_samples: 2 , time: 510037321 #
aggregator, node_id: 2, sample: 31.499, missed_samples: 0 , time: 511070393 #
aggregator, node_id: 2, sample: 38.827, missed_samples: 1 , time: 515834184 #
aggregator, node_id: 3, sample: 15.265, missed_samples: 2 , time: 517404488 #
aggregator, node_id: 2, sample: 64.162, missed_samples: 1 , time: 520670117 #
aggregator, node_id: 2, sample: 46.695, missed_samples: 0 , time: 524318562 #
aggregator, node_id: 3, sample: 20.008, missed_samples: 2 , time: 525130903 #
aggregator, node_id: 2, sample: 60.454, missed_samples: 0 , time: 527568558 #
aggregator, node_id: 2, sample: 40.604, missed_samples: 0 , time: 531670125 #
aggregator, node_id: 3, sample: 64.264, missed_samples: 2 , time: 533427927 #
aggregator, node_id: 2, sample: 50.949, missed_samples: 0 , time: 536117220 #
aggregator, node_id: 2, sample: 53.130, missed_samples: 0 , time: 540709185 #
aggregator, node_id: 3, sample: 23.815, missed_samples: 2 , time: 541388877 #
aggregator, node_id: 2, sample: 46.960, missed_samples: 0 , time: 544513897 #
aggregator, node_id: 2, sample: 63.231, missed_samples: 0 , time: 549513892 #
aggregator, node_id: 3, sample: 77.862, missed_samples: 3 , time: 550646691 #
aggregator, node_id: 2, sample: 38.397, missed_samples: 0 , time: 553037304 #
