aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 85173000 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 326919182 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 330505126 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 333872308 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 338497308 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 342270746 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 345630121 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 350341057 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 354817620 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 359083243 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 362723872 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 367231688 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 371841058 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 375223870 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 379166284 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 383708243 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 387005119 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 390981685 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 395044185 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 398661372 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 403051997 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 406630120 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 411157493 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 415325435 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 418559808 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 422642046 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 1 , time: 427356687 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 432278558 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 436192621 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 440387518 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 444387935 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 1 , time: 448723872 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 453028557 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 457926996 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 462887935 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 1 , time: 467712335 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 472204357 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 475411371 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 479247309 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 484130124 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 487399671 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 490887916 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 494583245 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 498794183 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 503559636 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 507903557 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 511356683 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 1 , time: 516114500 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 521036449 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 1 , time: 524801997 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 529567585 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 534216061 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 538216061 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 542302000 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 546419186 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 550786374 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 555036373 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 559544185 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 563161346 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 567012937 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 571028561 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 575309811 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 580020747 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 583567624 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 587360613 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 592020749 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 596294186 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 599360622 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 602837187 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 606489499 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 611286373 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 615294186 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 618762935 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 621997311 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 625676998 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 630341060 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 633996894 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 637301501 #
aggregator, node_id: 2, sample: 0.000, missed_samples: 0 , time: 641192623 #
