aggregator, node_id: 2, sample: 84.259, missed_samples: 0 , time: 297193542 #
aggregator, node_id: 3, sample: 88.107, missed_samples: 0 , time: 302357616 #
aggregator, node_id: 2, sample: 56.572, missed_samples: 0 , time: 302927916 #
aggregator, node_id: 3, sample: 13.564, missed_samples: 0 , time: 306779468 #
aggregator, node_id: 2, sample: 31.435, missed_samples: 0 , time: 308552943 #
aggregator, node_id: 3, sample: 38.971, missed_samples: 0 , time: 311599810 #
aggregator, node_id: 2, sample: 51.572, missed_samples: 0 , time: 314170106 #
aggregator, node_id: 3, sample: 90.118, missed_samples: 0 , time: 317295111 #
aggregator, node_id: 2, sample: 4.091, missed_samples: 0 , time: 319216796 #
aggregator, node_id: 3, sample: 66.738, missed_samples: 0 , time: 322568549 #
aggregator, node_id: 2, sample: 30.236, missed_samples: 0 , time: 324993280 #
aggregator, node_id: 3, sample: 59.489, missed_samples: 0 , time: 328232610 #
aggregator, node_id: 2, sample: 56.595, missed_samples: 1 , time: 330865457 #
aggregator, node_id: 3, sample: 42.403, missed_samples: 0 , time: 332685730 #
aggregator, node_id: 2, sample: 43.822, missed_samples: 0 , time: 335230300 #
aggregator, node_id: 3, sample: 68.295, missed_samples: 0 , time: 337310732 #
aggregator, node_id: 2, sample: 38.529, missed_samples: 0 , time: 339659975 #
aggregator, node_id: 3, sample: 44.805, missed_samples: 0 , time: 343115423 #
aggregator, node_id: 2, sample: 50.396, missed_samples: 0 , time: 344068551 #
aggregator, node_id: 3, sample: 60.354, missed_samples: 0 , time: 348060748 #
aggregator, node_id: 2, sample: 60.149, missed_samples: 0 , time: 349982607 #
aggregator, node_id: 3, sample: 55.082, missed_samples: 0 , time: 352552832 #
aggregator, node_id: 2, sample: 50.202, missed_samples: 0 , time: 354670127 #
aggregator, node_id: 3, sample: 30.708, missed_samples: 0 , time: 356849814 #
aggregator, node_id: 2, sample: 37.122, missed_samples: 0 , time: 359607631 #
aggregator, node_id: 3, sample: 74.630, missed_samples: 0 , time: 362381038 #
aggregator, node_id: 2, sample: 61.550, missed_samples: 0 , time: 363967008 #
aggregator, node_id: 3, sample: 33.557, missed_samples: 0 , time: 367802937 #
aggregator, node_id: 2, sample: 30.766, missed_samples: 0 , time: 368802938 #
aggregator, node_id: 3, sample: 58.012, missed_samples: 0 , time: 372146601 #
